ID_neurona,rata,sesion,mean_rate,std_rate,firing_rate,ISI_peak_time,ISI_index,ISI_ratio,CV,CV2,peak_time_ccg,potencia_tot,ancho_banda,frec_dominante,pot_frec_dominante,pot_rango_freq,AUC,AUC_depol,AUC_repol,AUC_asimetria,wf_invertida,asimetria,value_min,value_max_1,value_max_2,duracion,dur_1max_min,dur_2max_min,dur_1max_2max,pendiente_depol,pendiente_repol,proporcion_energia,clu_metric_error,tetrodo,type,calidad,estructura,estructura_fina,m_pre,m_post,DA,ISI_time,ID,peak_ratio,peak_amplitude,slope_ratio,power_ratio,AUC_tiempo_tot
532,15,12,0.223358399367517,0.118436788181717,37.4905618955295,10.0,0.0525347271490445,0.0027129463395172,11.82,0.48,10.0,1319926.26,2200.89,3856,599.45,43134.77,982364.23,0.58,0.58,1.0,0,-2.21550230825298,-1.0,0.777373197055258,0.318626391543434,0.0965449408393336,0.15,0.12,0.28,-0.355474639411053,0.329656597885859,1.66,,8,SU,1,SNc,,1.59,0.59,2.0,10.0,532,0.5626280410083794,0.1252560820167587,0.628930817610063,0.013706658081474875,1.16
533,15,12,0.494287896797979,0.299727099522944,0.115469710129378,16.0,2.1660831113033,0.0155844155844156,1.37,1.35,3.0,6335170.81,10772.38,1294,588.04,3785964.32,4579311.56,1.63,1.9,1.17,0,-3.69935068259274,-1.0,0.0624152279054089,0.314929538432915,0.206325633860749,0.37,0.52,0.89,-0.088534602325451,0.0773487963784068,1.19,,8,SU,1,SNc,,0.02,0.03,2.0,16.0,533,0.760497023431205,0.5209940468624099,-0.5,0.00015529694141084053,3.53
534,15,12,0.376982058929932,0.264409160523427,10.1652233676331,16.0,5.40985942489702,0.119070041200706,3.46,1.18,2.0,15050158.77,4161.98,3923,3615.23,5339283.43,10143226.59,0.61,0.89,1.45,0,-2.65727286115914,-1.0,0.715385332861292,0.0664777430739901,0.121114798812188,0.15,0.65,0.8,-0.343077066572258,0.0507846544320947,1.47,,8,SU,1,SNc,,,,2.0,16.0,534,0.5829593974270393,0.16591879485407857,,0.0006766420682963131,1.5
535,15,12,0.646933639765563,0.233563641009048,10.4622736841058,16.0,10.4301684751393,0.232236296571641,2.57,1.29,20.2,10496377.05,5335.97,2214,1966.73,3470325.04,7543306.43,0.89,1.04,1.17,0,5.77426686405479,-0.988047859253268,3.18833160290056,0.0829654751852618,0.246825700175207,0.18,0.8,0.98,-0.696063243692302,0.041192820555328,4.49,,8,SU,1,SNc,,12.62,0.05,1.0,16.0,535,0.23658000145985666,-0.5268399970802867,0.9960380348652932,0.0005664068950058307,1.9300000000000002
537,15,12,0.463119740955049,0.29365233641925,0.332050202703651,16.0,3.88987700092688,0.0378719567177637,1.54,1.4,2.8,2962892.83,9999.48,899,296.28,1718342.91,2205081.73,1.54,1.97,1.28,0,-2.20351482646764,-1.0,0.123481871516992,0.492646814630796,0.197665129521323,0.89,0.43,1.32,-0.0387407541902411,0.106617629616486,1.37,,8,SU,1,SNc,,0.06,0.33,1.0,16.0,537,0.6699508485182736,0.3399016970365471,-4.500000000000001,0.00017239220525397189,3.51
539,15,11,0.465800037904471,0.318672266110578,0.163282145402898,128.0,,0.0,2.59,1.14,,4442032.95,9075.27,2774,489.41,2374603.69,2898607.78,1.29,1.32,1.02,0,5.78421154932937,-0.456367221661945,5.63837989344763,0.173140503254755,0.873756101249729,1.17,1.54,2.7,-0.160388081976568,0.012590154498334,29.6,1.0,1,SU,2,VTA,,,,2.0,128.0,539,0.07487877889643009,-0.8502424422071398,,0.00020605929089684947,2.6100000000000003
540,15,11,0.212293877496529,0.121448925754199,0.657655812999841,32.0,0.0,0.0,10.82,1.13,7.4,6610536.36,7416.45,2139,891.21,3239083.54,4684811.75,1.08,1.38,1.29,0,2.69750699601513,-1.0,1.84757854091914,0.114279611015592,0.318093308810444,0.22,1.14,1.35,-0.406796934417018,0.0301156651625836,2.24,,1,SU,2,VTA,,,,2.0,32.0,540,0.35117556395028193,-0.29764887209943613,,0.0002750669584693523,2.46
541,15,11,0.49457484126141,0.289712070508007,35.4071748720805,24.0,1.37121910905565,0.0368245633476256,1.8,0.74,27.6,4408881.95,8651.72,1708,509.54,2453661.77,3221321.49,1.38,1.54,1.11,0,4.59181024681757,-0.592211964651061,3.81864144262185,0.105512064956307,0.815533141075062,0.65,1.78,2.43,-0.210040638441567,0.0120297246484029,11.6,,1,SU,2,VTA,,,,2.0,24.0,541,0.13426244537498846,-0.731475109250023,,0.00020762201804078623,2.92
543,15,11,0.542719693251331,0.271090942476213,6.21498324979015,28.0,0.957471520213779,0.0059249186537807,1.33,0.93,26.4,6027690.42,7778.08,1895,774.86,3145361.53,4364278.88,1.26,1.44,1.15,0,-4.53844034365198,-1.0,0.0630320149694688,0.316547000691984,0.178100496775636,0.92,0.31,1.23,-0.0354344004989822,0.131654700069198,1.19,,2,SU,2,VTA,,,,2.0,28.0,543,0.7595627041605008,0.5191254083210015,,0.0002462893860745815,2.7
544,15,11,0.50703769496733,0.283051584157108,18.7001819723071,28.0,0.110710100383201,0.000597178733981,2.37,0.38,28.2,9119996.8,4760.81,3242,1915.24,1704838.11,6242268.09,0.74,0.95,1.29,0,-4.7697859289697,-1.0,0.0453816731117429,0.479373732729376,0.118814696770651,0.12,0.18,0.31,-0.261345418277934,0.246562288788229,1.21,,2,SU,2,VTA,,,,2.0,28.0,544,0.675961711281061,0.351923422562122,,0.00112215394216159,1.69
